name,HH_size,head_age,F_age50plus,age6under,age6under_bin,Status,salaried,land,WEALTH_TOTAL_VAL_USD
HH01,5,67,1,0,0,0,1,0,1429
HH02,1,55,1,0,0,1,0,1,1608
HH03,1,65,1,0,0,0,0,0,1164
HH04,4,32,0,1,1,0,1,0,718
HH05,8,43,1,3,1,1,1,0,5093
HH06,4,26,0,1,1,1,1,0,1848
HH07,5,24,0,1,1,1,0,0,2837
HH08,3,56,1,0,0,0,0,1,1486
HH09,3,40,0,0,0,1,1,0,3402
HH10,5,60,1,0,0,0,1,0,1475
HH11,3,30,0,1,1,0,0,0,1865
HH12,3,56,1,0,0,0,1,0,449
HH13,5,45,0,0,0,1,1,1,1717
HH14,4,35,0,0,0,0,1,0,2118
HH15,7,45,0,1,1,0,1,0,1630
HH16,6,37,0,1,1,0,0,0,1832
HH17,3,44,0,0,0,1,1,0,2198
HH18,4,55,0,0,0,0,0,1,1071
HH19,4,55,1,0,0,0,0,0,1660
HH20,4,83,1,0,0,1,1,1,8023
HH21,7,64,1,2,1,0,0,1,4244
HH22,4,68,1,1,1,1,0,0,1959
HH23,3,52,0,0,0,0,0,0,2236
HH24,7,79,1,1,1,1,1,1,7023
HH25,5,30,0,0,0,0,1,0,1560
HH26,7,59,1,1,1,1,1,0,3678
HH27,3,60,0,0,0,1,0,1,3533
HH28,4,48,0,0,0,0,1,0,2930
HH29,4,60,1,1,1,0,0,0,1686
HH30,5,60,0,1,1,1,1,0,3075
HH31,4,59,1,1,1,1,0,1,2959
HH32,1,80,1,0,0,1,0,0,1068
HH33,4,53,0,0,0,0,0,0,4406
HH34,3,34,0,1,1,0,0,0,1652
HH35,1,50,1,0,0,0,0,1,1779
HH36,4,32,0,2,1,1,0,1,5429
HH37,5,46,0,0,0,0,0,0,4390
HH38,5,57,1,0,0,0,1,1,3844
HH39,2,50,1,0,0,0,0,0,1192
HH40,5,27,0,1,1,0,0,0,960
HH41,5,70,1,0,0,1,1,1,3503
HH42,2,85,1,0,0,1,0,0,1845
HH43,2,56,1,0,0,0,0,0,1600
HH44,4,60,0,0,0,0,1,0,3222
HH45,2,45,0,0,0,0,0,0,2552
HH46,5,28,1,1,1,0,0,0,2117
HH47,1,50,1,0,0,0,1,1,1436
HH48,4,45,0,1,1,0,1,1,4293
HH49,3,35,0,0,0,0,0,0,1359
HH50,2,25,0,1,1,0,1,0,1715
HH51,4,65,1,1,1,1,0,0,3103
HH52,4,65,1,1,1,0,0,0,2884
HH53,3,55,0,1,1,0,0,1,2049
HH54,6,69,1,1,1,0,0,0,3085
HH55,5,30,1,1,1,0,0,0,1120
HH56,3,30,0,1,1,0,0,1,5765
HH57,4,30,0,1,1,0,1,1,2112
HH58,5,49,1,0,0,1,0,1,2988
HH59,8,60,1,1,1,0,1,0,6084
HH60,6,60,1,0,0,1,0,0,5989
HH61,5,65,1,0,0,0,0,1,3281
HH62,4,28,0,1,1,0,0,0,1176
HH63,5,35,0,1,1,0,0,0,2058
HH64,4,40,0,0,0,0,0,0,3647
HH65,2,50,1,0,0,1,1,0,1086
HH66,2,63,1,0,0,0,0,0,2368
HH67,8,67,1,2,1,0,0,1,4224
HH68,3,55,1,1,1,1,0,0,1998
HH69,3,45,0,1,1,0,0,0,407
HH70,6,60,0,0,0,1,1,0,2012
HH71,6,50,1,1,1,0,0,0,3627
HH72,6,76,1,1,1,1,0,0,3757
HH73,5,53,0,0,0,1,1,1,3031
HH74,5,68,1,1,1,1,0,0,1055
HH75,4,48,0,0,0,1,1,0,2545
HH76,8,71,0,2,1,0,1,1,4715
HH77,5,61,0,1,1,0,0,0,2132
HH78,3,42,0,1,1,0,0,1,1596
HH79,4,35,0,0,0,1,0,0,3207
